metric,unit,model_dimension,effective_limit,default_limit
embed_content_free_tier_requests,1/d/{project}/{user}/{model},DEFAULT,0,0
embed_content_free_tier_requests,1/d/{project}/{user}/{model},gemini-embedding-1.0,1000,1000
embed_content_free_tier_requests,1/d/{project}/{user}/{model},gemini-embedding-2-exp,1000,1000
embed_content_free_tier_requests,1/d/{project}/{user}/{model},gemini-embedding-2,1000,1000
embed_content_free_tier_requests,1/min/{project}/{model},DEFAULT,0,0
embed_content_free_tier_requests,1/min/{project}/{model},gemini-embedding-1.0,100,100
embed_content_free_tier_requests,1/min/{project}/{model},gemini-embedding-2-exp,100,100
embed_content_free_tier_requests,1/min/{project}/{model},gemini-embedding-2,100,100
embed_content_free_tier_requests,1/d/{project}/{model},DEFAULT,0,0
embed_content_free_tier_requests,1/d/{project}/{model},gemini-embedding-1.0,1000,1000
embed_content_free_tier_requests,1/d/{project}/{model},gemini-embedding-2-exp,1000,1000
embed_content_free_tier_requests,1/d/{project}/{model},gemini-embedding-2,1000,1000
embed_content_free_tier_requests,1/min/{project}/{user}/{model},DEFAULT,0,0
embed_content_free_tier_requests,1/min/{project}/{user}/{model},gemini-embedding-1.0,100,100
embed_content_free_tier_requests,1/min/{project}/{user}/{model},gemini-embedding-2-exp,100,100
embed_content_free_tier_requests,1/min/{project}/{user}/{model},gemini-embedding-2,100,100
embed_content_free_tier_tokens,1/min/{project}/{model},DEFAULT,0,0
embed_content_free_tier_tokens,1/min/{project}/{model},gemini-embedding-1.0,30000,30000
embed_content_free_tier_tokens,1/min/{project}/{model},gemini-embedding-2-exp,30000,30000
embed_content_free_tier_tokens,1/min/{project}/{model},gemini-embedding-2,30000,30000
generate_content_free_tier_input_token_count,1/min/{project}/{model},DEFAULT,-1,-1
generate_content_free_tier_input_token_count,1/min/{project}/{model},antigravity,100000,100000
generate_content_free_tier_input_token_count,1/min/{project}/{model},chat-bard,-1,-1
generate_content_free_tier_input_token_count,1/min/{project}/{model},computer-use-exp,-1,-1
generate_content_free_tier_input_token_count,1/min/{project}/{model},computer-use-preview,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},deep-research-exp-04-2026,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},deep-research-pro-preview,0,0
generate_content_free_tier_input_token_count,1/min/{project}/{model},gdm-eval-model-mow,1000000,1000000
