model,category,quota_dimension,mapping,free_rpm,free_input_tpm,free_rpd,input_token_limit,output_token_limit,methods
gemini-2.5-flash,text,gemini-2.5-flash,exact,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-2.5-pro,text,gemini-2.5-pro,exact,0,0,0,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-2.5-flash-preview-tts,audio,gemini-2.5-flash-tts,family-inferred,3,10000,10,8192,16384,countTokens;generateContent
gemini-2.5-pro-preview-tts,audio,gemini-2.5-pro-tts,family-inferred,0,0,0,8192,16384,countTokens;generateContent;batchGenerateContent
gemma-4-26b-a4b-it,text,gemma-4-26b,family-inferred,30,16000,14400,262144,32768,generateContent;countTokens
gemma-4-31b-it,text,gemma-4-31b,family-inferred,30,16000,14400,262144,32768,generateContent;countTokens
gemini-flash-latest,text,,unresolved,,,,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-flash-lite-latest,text,,unresolved,,,,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-pro-latest,text,,unresolved,,,,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-2.5-flash-lite,text,gemini-2.5-flash-lite,exact,10,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-2.5-flash-image,image,,unresolved,,,,32768,32768,generateContent;countTokens;batchGenerateContent
gemini-3-flash-preview,text,gemini-3-flash,family-inferred,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.1-pro-preview,text,gemini-3.1-pro,family-inferred,0,0,0,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.1-pro-preview-customtools,text,gemini-3.1-pro,family-inferred,0,0,0,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.1-flash-lite-preview,text,gemini-3.1-flash-lite,family-inferred,15,250000,500,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.1-flash-lite,text,gemini-3.1-flash-lite,exact,15,250000,500,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3-pro-image-preview,image,gemini-3-pro-image,family-inferred,0,0,0,131072,32768,generateContent;countTokens;batchGenerateContent
gemini-3-pro-image,image,gemini-3-pro-image,exact,0,0,0,131072,32768,generateContent;countTokens;batchGenerateContent
nano-banana-pro-preview,image,gemini-3-pro-image,family-inferred,0,0,0,131072,32768,generateContent;countTokens;batchGenerateContent
gemini-3.1-flash-image-preview,image,gemini-3.1-flash-image,family-inferred,0,0,0,65536,65536,generateContent;countTokens;batchGenerateContent
gemini-3.1-flash-image,image,gemini-3.1-flash-image,exact,0,0,0,65536,65536,generateContent;countTokens;batchGenerateContent
gemini-3.1-flash-lite-image,image,gemini-3.1-flash-lite-image,exact,0,0,0,65536,65536,generateContent;countTokens;batchGenerateContent
gemini-3.5-flash,text,gemini-3.5-flash,exact,5,250000,20,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-3.5-flash-lite,text,gemini-3.5-flash-lite,exact,15,250000,500,1048576,65536,generateContent;countTokens;createCachedContent;batchGenerateContent
gemini-omni-flash-preview,image,,unresolved,,,,131072,65536,generateContent;countTokens
gemini-omni-1.1-flash,image,gemini-omni-1.1-flash,exact,0,0,0,131072,65536,generateContent;countTokens
